nome,nometuss,tuss,valor_padrao,nome_plano,especialidade
"Rest. RC Classe IV G2","Rest. RC Classe IV G2",,"370.00","Particular","Dentística"
"Polimento de Resina Composta","Polimento de Resina Composta",,"0.00","Particular","Dentística"
"Preenchimento de REFINAMENTO com Ácido Hialurônico - a cada ml","Preenchimento de REFINAMENTO com Ácido Hialurônico - a cada ml",,"1300.00","Particular","Harmonização facial"
"Rest. RC Classe IV G4","Rest. RC Classe IV G4",,"520.00","Particular","Dentística"
"Preenchimento de REESTRUTURAÇÃO com Ácido Hialurônico - a cada ml","Preenchimento de REESTRUTURAÇÃO com Ácido Hialurônico - a cada ml",,"1500.00","Particular","Harmonização facial"
"Plano Smart - SouSmile","Plano Smart - SouSmile",,"0.00","Particular","Ortodontia"
"Rest. RC Classe IV G1","Rest. RC Classe IV G1",,"300.00","Particular","Dentística"
"Plano Light - SouSmile","Plano Light - SouSmile",,"0.00","Particular","Ortodontia"
"Recontorno Cosmético","Recontorno Cosmético",,"600.00","Particular","Dentística"
"Remoção de Excessos","Remoção de Excessos",,"0.00","Particular","Dentística"
"Fechamento de Diastema","Fechamento de Diastema",,"340.00","Particular","Dentística"
"Rest. Semi-direta","Rest. Semi-direta",,"0.00","Particular","Dentística"
"Rest. RC Classe II G3","Rest. RC Classe II G3",,"280.00","Particular","Dentística"
"Consulta de Retorno","Consulta de Retorno",,"150.00","Particular","Outros"
"Sedação com Especialista Anestesista","Sedação com Especialista Anestesista",,"1800.00","Particular","Implantodontia"
"Consulta Inicial","Consulta Odontológica Inicial","81000065","150.00","Particular","Outros"
"Seringas de Clareamento + avaliação da plaquinha antiga","Seringas de Clareamento + avaliação da plaquinha antiga",,"0.00","Particular","Dentística"
"Tratamento endodôntico Molar","Tratamento endodôntico Molar",,"900.00","Particular","Endodontia"
"Restauração provisória","Restauração provisória",,"180.00","Particular","Dentística"
"Tratamento endodôntico Pré-molar","Tratamento endodôntico Pré-molar",,"830.00","Particular","Endodontia"
"Tratamento endodôntico Incisivo/canino","Tratamento endodôntico Incisivo/canino",,"900.00","Particular","Endodontia"
"Extração Molar","Extração Molar",,"550.00","Particular","Cirurgia"
"Exatração Molar","Exatração Molar",,"500.00","Particular","Cirurgia"
"Curativo Endodôntico","Curativo Endodôntico",,"0.00","Particular","Endodontia"
"Radiesse Duo - 1,5ml --- Bioestimulador de colágeno","Radiesse Duo - 1,5ml --- Bioestimulador de colágeno",,"0.00","Particular","Harmonização facial"
"Toxina botulínica (botox) - Terço Superior","Toxina botulínica (botox) - Terço Superior",,"0.00","Particular","Harmonização facial"
"Clareamento de Consultório 4ª Sessão","Clareamento de Consultório 4ª Sessão",,"450.00","Particular","Dentística"
"Clareamento de Consultório 3ª Sessão","Clareamento de Consultório 3ª Sessão",,"450.00","Particular","Dentística"
"Toxina botulínica (botox) - Terço Inferior","Toxina botulínica (botox) - Terço Inferior",,"0.00","Particular","Harmonização facial"
"Clareamento de Consultório 2ª Sessão","Clareamento de Consultório 2ª Sessão",,"450.00","Particular","Dentística"
"Ultraformer ","Ultraformer ",,"0.00","Particular","Estética"
